neighborhood,property_type,bedrooms,bathrooms,size_sqft,age_years,distance_to_cbd_km,has_parking,has_garden,has_pool,gated_community,security_score,price_kes
South B,Apartment,5,5,1490,15,4.1,0,0,0,1,1,15839000.0
South B,Apartment,2,1,937,21,3.8,1,0,0,0,3,9316000.0
Nyayo Estate,Apartment,2,2,869,12,15.8,1,0,0,0,5,8278000.0
Kileleshwa,Villa,1,1,887,29,6.5,1,0,0,1,4,9895000.0
Muthaiga,Apartment,3,3,1011,12,12.2,1,0,0,0,4,23774000.0
Runda,Apartment,3,3,1055,22,3.3,1,0,0,1,4,24227000.0
Kasarani,Townhouse,4,3,1304,19,26.3,1,0,0,0,3,6873000.0
Lavington,Apartment,1,1,562,6,4.5,0,0,0,1,3,12183000.0
Kasarani,Villa,4,4,1899,9,12.2,1,1,0,0,5,11607000.0
Upperhill,Apartment,2,2,887,11,20.0,0,0,1,1,1,15727000.0
Kilimani,Apartment,4,4,1449,25,5.3,1,0,0,0,3,21788000.0
Donholm,Villa,4,4,2026,0,17.4,1,1,0,0,5,14867000.0
Athi River,Maisonette,1,1,688,1,29.1,1,0,0,0,2,2578000.0
Athi River,Apartment,1,1,690,23,16.2,1,0,0,1,1,2868000.0
Kahawa,Apartment,2,2,934,4,16.7,1,0,0,1,4,5514000.0
South C,Apartment,3,2,1089,0,13.8,1,0,0,1,3,12407000.0
Embakasi,Apartment,3,2,941,13,17.2,1,0,0,1,5,6108000.0
Kilimani,Apartment,4,3,1306,4,0.5,0,0,0,1,3,25306000.0
Ruaka,Bungalow,2,2,1082,21,15.6,1,0,0,1,5,9685000.0
Buruburu,Apartment,3,3,943,15,15.7,1,0,0,1,1,6751000.0
Karen,Apartment,3,2,750,28,0.8,1,0,0,0,4,17512000.0
South C,Apartment,4,4,1458,24,18.5,1,0,0,1,5,13115000.0
Kileleshwa,Apartment,6,6,2020,25,3.0,1,0,0,1,3,29999000.0
South B,Apartment,1,1,599,1,12.7,1,0,0,1,4,6607000.0
Karen,Villa,3,3,1143,14,12.8,1,0,0,1,3,23032000.0
Kasarani,Maisonette,1,1,533,21,27.6,1,1,0,1,2,2917000.0
Ngong Road,Maisonette,2,2,891,24,8.6,1,1,0,0,4,9403000.0
Donholm,Apartment,2,1,802,24,22.9,1,0,0,1,5,6053000.0
Westlands,Apartment,3,2,946,16,19.7,1,0,0,0,1,13220000.0
South B,Apartment,2,1,1085,8,19.6,0,0,0,0,3,9359000.0
Upperhill,Townhouse,5,5,1262,27,8.7,1,0,0,1,2,21322000.0
Embakasi,Townhouse,4,4,1971,29,18.0,1,0,0,0,5,11519000.0
Dagoretti,Villa,3,3,922,4,18.4,1,1,0,0,5,8788000.0
Karen,Townhouse,2,1,880,17,4.4,1,0,0,1,3,19521000.0
Ruiru,Townhouse,2,1,724,21,12.8,0,0,0,0,4,2871000.0
Buruburu,Apartment,3,3,1141,4,18.8,1,0,0,1,2,7388000.0
Kilimani,Apartment,2,2,910,27,10.7,1,0,1,1,3,13350000.0
Kileleshwa,Apartment,2,2,949,2,22.1,1,0,0,1,5,16155000.0
Kikuyu,Apartment,3,3,1155,10,17.3,1,0,0,1,1,7362000.0
Donholm,Maisonette,4,3,1714,24,22.3,0,0,0,1,2,9743000.0
Buruburu,Townhouse,3,3,1280,7,21.4,0,0,0,1,3,10989000.0
Thika Road,Townhouse,4,4,1163,24,15.9,0,0,0,1,2,7429000.0
Umoja,Apartment,4,4,1707,14,27.3,1,0,0,0,5,8882000.0
South B,Apartment,3,2,1044,18,13.8,1,0,0,1,4,9096000.0
Buruburu,Maisonette,4,4,1778,25,18.2,1,1,0,1,4,14228000.0
Kikuyu,Apartment,3,2,1153,25,31.2,1,0,0,1,1,4482000.0
Ngong Road,Apartment,3,3,910,10,5.3,1,0,0,0,3,9818000.0
South C,Apartment,1,1,551,15,4.7,1,0,0,0,1,4844000.0
Ruaka,Bungalow,3,3,1827,22,17.9,0,1,0,0,2,13283000.0
Umoja,Apartment,5,5,1511,1,18.4,1,0,0,0,3,8658000.0
Rongai,Apartment,5,5,1901,12,16.1,1,0,0,0,5,11542000.0
Kasarani,Maisonette,3,3,1042,0,15.6,1,0,0,0,2,7290000.0
Ruaka,Apartment,3,3,851,6,19.6,1,0,0,1,4,8038000.0
Kahawa,Maisonette,1,1,731,3,28.0,1,0,0,1,5,4401000.0
Umoja,Maisonette,4,4,1144,12,16.6,1,0,0,0,1,6821000.0
Dagoretti,Apartment,2,2,819,11,21.5,1,0,0,1,1,5765000.0
Rongai,Villa,3,2,1729,20,20.5,1,1,0,1,2,9938000.0
Roysambu,Apartment,2,1,884,9,26.9,1,0,0,1,3,6449000.0
Lavington,Apartment,3,3,919,14,9.2,1,0,1,0,3,19430000.0
Westlands,Townhouse,1,1,605,18,9.8,1,0,0,1,2,10543000.0
Kilimani,Maisonette,4,4,1489,23,5.9,1,0,0,0,4,23280000.0
Muthaiga,Apartment,1,1,588,6,2.7,1,0,1,1,3,15519000.0
Kikuyu,Apartment,4,4,1358,7,22.8,0,0,0,1,2,7213000.0
Ruaka,Townhouse,3,3,1149,15,5.3,1,0,0,1,4,10474000.0
Langata,Bungalow,3,3,1636,16,7.6,1,0,0,0,3,17174000.0
Nyayo Estate,Maisonette,2,1,1041,1,15.3,1,0,0,0,4,10253000.0
Dagoretti,Apartment,3,3,1077,17,20.9,1,0,0,1,3,8152000.0
Kikuyu,Apartment,3,2,706,28,33.8,1,0,0,0,2,2621000.0
Donholm,Apartment,1,1,722,6,22.1,1,0,0,1,4,4524000.0
Embakasi,Apartment,3,3,1183,21,34.4,1,0,0,0,3,6030000.0
Karen,Apartment,4,4,1266,28,0.5,1,0,0,0,4,24100000.0
Buruburu,Villa,2,2,1351,12,14.4,1,1,0,1,1,10648000.0
Rongai,Apartment,3,3,1067,25,22.6,1,0,0,0,5,5540000.0
Thika Road,Apartment,1,1,624,19,16.0,1,0,0,0,1,3223000.0
Kikuyu,Townhouse,2,2,932,29,25.0,1,0,0,1,2,4201000.0
Runda,Maisonette,2,1,1034,23,7.7,0,1,0,0,3,22455000.0
Ruaka,Maisonette,2,1,734,7,13.4,1,1,0,0,3,6204000.0
Ngong Road,Villa,3,3,1412,18,19.4,1,0,0,1,4,15942000.0
Roysambu,Townhouse,2,2,1021,18,12.4,0,0,0,0,4,5459000.0
Ruiru,Apartment,1,1,614,28,24.3,1,0,0,1,5,2977000.0
Ngong Road,Townhouse,3,3,927,6,12.9,1,0,0,0,1,10647000.0
Kahawa,Apartment,3,3,1119,3,19.6,1,0,0,0,1,5144000.0
Spring Valley,Townhouse,5,5,1564,14,11.2,0,0,0,1,4,31655000.0
Umoja,Maisonette,2,1,860,4,20.7,1,0,0,0,1,4647000.0
Dagoretti,Maisonette,2,2,881,17,17.4,1,1,0,1,2,7859000.0
Spring Valley,Apartment,5,5,1888,3,3.9,1,0,0,1,3,39711000.0
Ruiru,Apartment,2,1,777,19,34.8,1,0,0,1,5,3354000.0
Muthaiga,Apartment,5,5,1739,2,8.5,1,0,1,1,4,54085000.0
Langata,Bungalow,4,3,2199,29,9.7,0,0,0,1,4,22544000.0
Westlands,Townhouse,2,1,717,6,8.6,1,0,0,1,3,12982000.0
Dagoretti,Apartment,6,6,1977,13,14.1,0,0,0,0,4,13822000.0
Kileleshwa,Apartment,6,6,2090,27,10.6,1,0,0,1,3,36436000.0
Kitisuru,Apartment,2,1,810,13,4.3,1,0,0,1,3,17026000.0
Westlands,Apartment,4,4,1596,14,2.0,1,0,0,1,5,31675000.0
Kileleshwa,Apartment,3,2,776,23,3.9,1,0,0,1,4,13193000.0
Ngong Road,Apartment,1,1,536,18,8.0,1,0,0,0,2,5280000.0
Kikuyu,Maisonette,3,3,993,11,25.6,0,1,0,1,4,6022000.0
Loresho,Apartment,2,2,919,15,11.8,0,0,0,0,4,13661000.0
Umoja,Apartment,3,3,1075,6,20.2,1,0,0,1,5,7274000.0
South B,Apartment,4,4,1350,5,11.1,1,0,0,0,5,16372000.0
Dagoretti,Apartment,3,2,1132,27,12.2,1,0,0,1,2,7876000.0
Thika Road,Apartment,4,4,945,6,12.6,1,0,0,1,2,6751000.0
Roysambu,Apartment,3,3,936,13,24.8,1,0,0,0,4,5085000.0
Donholm,Villa,6,5,3146,3,21.7,1,1,0,0,2,21702000.0
Karen,Apartment,3,3,1225,17,6.8,1,0,0,0,2,27635000.0
Kileleshwa,Townhouse,3,3,1435,1,0.5,0,0,0,1,2,22962000.0
Kileleshwa,Bungalow,4,4,1894,12,12.1,1,0,0,0,2,28894000.0
Rongai,Maisonette,4,3,1268,20,18.5,1,0,0,1,5,7360000.0
Embakasi,Apartment,3,2,1031,12,18.5,1,0,0,1,5,6521000.0
Spring Valley,Apartment,3,2,1209,21,7.5,1,0,0,1,2,19168000.0
Spring Valley,Apartment,3,3,1299,8,10.1,1,0,0,1,3,23869000.0
Spring Valley,Apartment,6,5,2159,2,4.7,1,0,1,1,1,53022000.0
Kitisuru,Apartment,2,2,723,27,4.8,0,0,0,1,3,12279000.0
Rongai,Townhouse,5,5,2192,21,26.4,0,0,0,0,4,10920000.0
Rongai,Apartment,4,4,1323,14,21.1,1,0,0,1,4,8084000.0
Thika Road,Townhouse,4,3,1135,11,5.6,1,0,0,1,1,7585000.0
Ngong Road,Apartment,4,3,1316,25,12.7,0,0,0,1,5,15341000.0
Ruaka,Apartment,3,2,918,29,12.0,1,0,0,1,3,6245000.0
South B,Apartment,2,1,799,22,13.6,0,0,0,1,2,6815000.0
Spring Valley,Bungalow,6,6,2643,6,4.6,1,1,0,0,2,53171000.0
Kahawa,Villa,3,3,1240,17,24.2,1,1,0,1,1,6295000.0
Karen,Maisonette,3,2,1202,24,2.6,1,0,0,0,5,27305000.0
South C,Apartment,3,3,1209,2,8.9,0,0,0,0,4,13801000.0
South C,Maisonette,3,2,929,16,9.8,1,0,0,1,3,9725000.0
Spring Valley,Villa,3,3,1893,14,16.8,1,0,1,1,1,36504000.0
Kilimani,Apartment,2,1,818,23,13.8,0,0,0,0,5,11938000.0
South B,Apartment,4,3,1325,22,5.8,1,0,0,1,4,11578000.0
Kahawa,Apartment,4,4,1144,12,28.0,1,0,0,0,3,5013000.0
Kikuyu,Apartment,6,6,1698,17,27.4,1,0,0,1,2,8944000.0
Kilimani,Apartment,2,2,1020,7,10.9,1,0,1,0,4,19899000.0
Athi River,Maisonette,2,2,978,22,25.7,0,1,0,0,1,3527000.0
South B,Villa,4,4,1861,1,21.6,1,1,0,1,4,19013000.0
Kilimani,Bungalow,1,1,910,25,4.3,1,1,0,0,3,12305000.0
Kikuyu,Bungalow,2,2,878,12,22.6,1,0,0,0,1,4503000.0
Spring Valley,Apartment,3,3,943,5,4.0,0,0,0,0,4,19031000.0
Athi River,Maisonette,4,3,1778,7,22.0,1,1,0,1,5,7783000.0
Upperhill,Maisonette,3,3,1026,2,5.6,1,1,1,0,5,18396000.0
South C,Townhouse,5,5,1861,12,20.8,0,0,0,0,2,17716000.0
Rongai,Apartment,4,4,1361,10,12.4,1,0,0,0,4,8010000.0
Athi River,Apartment,3,3,1006,5,18.1,1,0,0,0,2,4632000.0
Nyayo Estate,Townhouse,4,4,1645,19,17.7,1,0,0,1,5,14762000.0
Lavington,Apartment,2,2,869,17,3.0,1,0,0,1,2,16823000.0
Loresho,Apartment,5,5,1824,6,11.0,0,0,0,0,3,29415000.0
Thika Road,Apartment,2,2,890,1,18.0,1,0,0,1,3,5926000.0
Kahawa,Apartment,3,3,1223,23,26.6,0,0,0,1,3,5230000.0
Karen,Maisonette,6,5,2435,2,12.4,1,0,1,1,4,68000000.0
Umoja,Apartment,3,2,1009,8,16.1,1,0,0,1,4,5017000.0
Kitisuru,Apartment,1,1,537,13,0.5,1,0,0,1,4,12391000.0
Nyayo Estate,Townhouse,1,1,586,19,13.6,1,0,0,1,2,5275000.0
Thika Road,Townhouse,2,1,810,6,8.7,0,0,0,0,3,5308000.0
Rongai,Apartment,4,4,1336,24,34.0,1,0,0,1,4,7215000.0
Roysambu,Apartment,3,2,916,5,17.4,0,0,0,1,5,5902000.0
Ruiru,Apartment,1,1,454,10,27.5,1,0,0,1,2,2220000.0
Kitisuru,Apartment,3,3,1172,22,12.8,1,0,0,0,3,19764000.0
Ruaka,Maisonette,4,3,1678,11,14.8,1,0,0,0,3,16108000.0
Karen,Apartment,5,5,1730,23,9.2,1,0,0,1,1,39118000.0
Kasarani,Apartment,2,1,725,10,21.3,1,0,0,1,5,4756000.0
Spring Valley,Apartment,6,5,1371,16,5.7,1,0,0,1,1,22784000.0
Roysambu,Apartment,5,4,1704,0,14.9,1,0,0,0,1,11656000.0
Embakasi,Apartment,4,4,1392,19,15.5,1,0,0,1,4,9874000.0
Kikuyu,Apartment,2,2,664,14,27.9,1,0,0,1,1,3169000.0
Lavington,Apartment,1,1,477,25,10.4,1,0,1,0,3,8842000.0
Kitisuru,Townhouse,3,3,1247,2,1.6,1,0,1,1,2,34215000.0
Loresho,Townhouse,3,2,1110,5,3.8,1,0,0,0,5,17208000.0
Donholm,Maisonette,2,1,658,18,16.8,0,1,0,1,4,4675000.0
Thika Road,Apartment,4,4,1666,19,14.6,1,0,0,1,4,10987000.0
Karen,Apartment,2,2,797,2,2.5,0,0,0,1,4,18898000.0
Athi River,Bungalow,5,5,2320,11,22.7,1,0,0,0,5,12185000.0
Rongai,Apartment,2,1,762,6,22.6,1,0,0,0,1,3691000.0
Dagoretti,Maisonette,2,2,777,1,20.0,1,0,0,0,4,6113000.0
Umoja,Apartment,2,1,879,1,28.6,0,0,0,0,2,4349000.0
Ruiru,Apartment,3,3,1337,18,22.1,1,0,0,0,2,5662000.0
Spring Valley,Townhouse,4,4,1235,21,3.9,1,0,0,1,5,24102000.0
Kilimani,Apartment,3,3,1184,17,5.9,1,0,0,1,4,20155000.0
Kahawa,Apartment,4,4,1050,25,36.1,1,0,0,0,2,4221000.0
Athi River,Townhouse,3,2,1089,1,24.9,1,0,0,1,2,5247000.0
Spring Valley,Villa,3,3,902,16,4.4,1,1,1,0,4,21412000.0
Lavington,Villa,1,1,790,4,2.1,1,1,0,1,2,16110000.0
Kikuyu,Apartment,2,1,728,15,16.7,0,0,0,1,3,3375000.0
Kileleshwa,Apartment,2,1,760,2,9.0,1,0,0,1,5,12836000.0
Spring Valley,Apartment,3,3,1271,27,9.6,1,0,1,1,1,23854000.0
Ruaka,Villa,1,1,1070,29,20.9,1,1,0,1,3,8477000.0
Kilimani,Townhouse,2,1,925,20,7.5,0,0,0,1,2,10465000.0
Westlands,Apartment,4,4,1252,15,9.7,0,0,1,1,5,21698000.0
Athi River,Maisonette,4,3,1596,4,35.3,0,1,0,1,2,6704000.0
Roysambu,Apartment,4,3,1439,8,16.9,0,0,0,0,2,7990000.0
Umoja,Bungalow,1,1,939,15,24.8,0,1,0,1,4,5390000.0
Ngong Road,Apartment,2,1,769,16,12.9,0,0,0,0,1,6512000.0
Kahawa,Apartment,4,4,1055,12,22.2,0,0,0,1,1,5372000.0
Karen,Villa,4,3,1894,1,9.8,1,0,0,1,3,45093000.0
Dagoretti,Apartment,1,1,609,25,13.5,1,0,0,1,3,4426000.0
Kitisuru,Apartment,2,2,936,8,1.4,1,0,0,1,1,21666000.0
South C,Bungalow,1,1,794,13,8.2,1,1,0,0,5,8515000.0
Spring Valley,Apartment,3,3,1324,26,9.9,1,0,0,0,2,15839000.0
Kileleshwa,Apartment,3,3,1003,20,7.0,1,0,0,1,4,14828000.0
Dagoretti,Apartment,2,2,985,17,12.5,0,0,0,0,4,7231000.0
Umoja,Apartment,4,4,1148,27,17.4,1,0,0,1,2,6016000.0
Langata,Apartment,3,2,1261,20,23.3,1,0,0,1,3,11881000.0
Kikuyu,Apartment,5,5,1673,22,16.3,1,0,0,1,3,8488000.0
Muthaiga,Apartment,2,2,753,10,6.3,0,0,1,0,4,18441000.0
Runda,Bungalow,3,3,1377,29,8.3,1,0,0,1,2,31961000.0
Kileleshwa,Villa,3,3,1629,24,6.0,1,1,0,0,5,25813000.0
Muthaiga,Bungalow,5,5,2396,13,2.7,1,0,0,1,5,63826000.0
Karen,Maisonette,2,2,770,1,3.9,1,1,1,1,5,22424000.0
Kilimani,Apartment,1,1,680,14,13.2,1,0,0,1,5,10959000.0
Kilimani,Apartment,3,2,1165,15,15.0,0,0,0,0,1,14636000.0
Embakasi,Apartment,2,2,801,18,27.7,1,0,0,0,2,4559000.0
Kasarani,Maisonette,2,1,910,21,27.6,1,0,0,1,3,4854000.0
Runda,Apartment,4,3,1282,7,1.7,1,0,0,1,3,31232000.0
Ruiru,Apartment,3,3,934,8,25.4,0,0,0,1,5,5069000.0
Langata,Bungalow,2,1,931,7,11.8,0,1,0,1,4,10914000.0
Kileleshwa,Apartment,3,2,1064,21,13.3,1,0,0,0,4,15330000.0
Thika Road,Townhouse,1,1,503,24,15.5,1,0,0,1,1,2938000.0
Donholm,Apartment,3,2,837,20,14.1,1,0,0,1,1,5491000.0
Dagoretti,Townhouse,2,1,724,5,14.2,0,0,0,0,3,6125000.0
Rongai,Townhouse,4,4,1348,22,21.5,1,0,0,1,2,6052000.0
South C,Apartment,2,1,1070,11,12.1,1,0,0,1,3,9268000.0
Nyayo Estate,Apartment,3,2,872,7,19.9,1,0,0,1,1,8012000.0
Buruburu,Bungalow,3,2,1689,6,21.2,1,0,0,1,1,14464000.0
Roysambu,Bungalow,3,2,1484,15,9.7,1,1,0,1,3,11031000.0
Embakasi,Apartment,5,5,1892,5,11.6,1,0,0,0,4,12266000.0
South B,Apartment,2,2,852,6,15.5,1,0,0,1,2,8734000.0
Athi River,Apartment,5,4,1159,29,35.2,1,0,0,1,4,4642000.0
Ruaka,Maisonette,3,3,881,7,16.1,1,0,0,1,2,6620000.0
South B,Maisonette,6,6,1860,29,26.3,0,1,0,0,4,14790000.0
Runda,Villa,3,2,1483,17,8.7,1,0,0,1,2,39010000.0
Loresho,Bungalow,5,5,2108,7,17.0,1,1,0,1,3,34588000.0
Nyayo Estate,Apartment,3,2,873,16,4.1,1,0,0,0,1,7098000.0
Roysambu,Apartment,1,1,388,16,19.3,1,0,0,1,1,2460000.0
South B,Townhouse,2,2,788,4,7.1,0,0,0,1,4,8355000.0
Runda,Apartment,3,2,1231,3,8.5,0,0,0,1,4,30575000.0
Buruburu,Maisonette,2,1,1034,23,17.3,1,0,0,1,3,7599000.0
Kilimani,Bungalow,3,2,1560,24,3.5,1,1,0,1,1,25072000.0
Karen,Apartment,3,3,1199,26,10.6,1,0,0,0,2,21944000.0
Athi River,Apartment,3,3,890,5,30.0,1,0,0,1,4,4664000.0
Karen,Apartment,5,5,1684,19,6.9,1,0,1,1,3,44080000.0
Langata,Apartment,4,4,1200,12,10.4,1,0,0,1,1,15130000.0
Dagoretti,Apartment,5,5,1647,7,16.8,1,0,0,1,4,14638000.0
Runda,Apartment,2,2,637,23,2.2,0,0,0,0,1,14140000.0
Westlands,Apartment,3,3,855,23,5.8,0,0,0,1,2,13497000.0
South B,Townhouse,3,3,1157,19,17.4,1,0,0,0,1,9458000.0
Ngong Road,Apartment,3,2,1153,5,4.7,1,0,0,0,5,14960000.0
Kilimani,Apartment,3,3,1139,1,5.6,1,0,0,0,3,17755000.0
Karen,Townhouse,3,3,1272,23,7.2,0,0,1,1,1,27887000.0
Langata,Maisonette,1,1,548,22,13.3,1,1,0,1,1,6102000.0
Donholm,Bungalow,1,1,503,9,21.2,1,1,0,0,3,3354000.0
Spring Valley,Maisonette,3,2,1424,18,13.4,1,0,0,0,3,20429000.0
Loresho,Apartment,4,3,1145,27,4.7,1,0,0,0,1,13026000.0
Spring Valley,Maisonette,3,3,1134,29,6.2,1,1,1,1,5,20150000.0
Donholm,Townhouse,4,4,1719,14,18.4,1,0,0,0,1,10207000.0
Lavington,Townhouse,5,5,1678,26,1.2,1,0,1,1,5,36829000.0
Spring Valley,Villa,3,3,1594,8,0.5,1,0,1,0,2,31122000.0
Westlands,Apartment,6,6,1691,25,5.8,0,0,1,1,4,34367000.0
Embakasi,Maisonette,2,2,1019,6,11.5,1,1,0,1,4,6964000.0
Ngong Road,Villa,4,3,1414,1,2.9,0,0,0,1,1,15905000.0
Buruburu,Villa,2,2,1020,10,16.9,1,0,0,1,1,7239000.0
Ruaka,Townhouse,2,2,1127,16,20.3,1,0,0,0,4,9112000.0
Kikuyu,Villa,3,2,1655,17,27.2,1,0,0,0,4,7667000.0
South B,Maisonette,5,5,2024,14,15.2,1,1,0,1,2,18810000.0
Spring Valley,Bungalow,3,3,1377,28,11.5,1,0,0,1,1,23608000.0
Westlands,Apartment,3,3,1330,7,0.5,1,0,1,1,2,31312000.0
Loresho,Apartment,4,4,1157,12,6.5,1,0,0,0,5,16138000.0
Ruiru,Apartment,2,2,672,7,30.8,0,0,0,1,4,3187000.0
South C,Maisonette,3,2,631,19,20.3,1,1,0,1,2,5910000.0
Umoja,Apartment,2,2,790,27,28.0,1,0,0,1,4,4184000.0
Donholm,Maisonette,2,1,938,13,20.6,0,0,0,1,4,6275000.0
Roysambu,Townhouse,3,3,1225,8,11.4,1,0,0,1,2,8191000.0
South C,Apartment,2,2,743,27,12.7,1,0,0,1,5,7129000.0
Kahawa,Apartment,1,1,588,23,23.1,1,0,0,0,2,2319000.0
Donholm,Apartment,3,3,994,15,23.1,1,0,0,0,3,5379000.0
Dagoretti,Villa,3,3,1510,29,18.8,1,1,0,0,2,10615000.0
Langata,Townhouse,3,2,1041,29,8.9,1,0,0,1,1,10360000.0
Karen,Villa,4,3,2405,22,3.2,1,1,0,1,4,63441000.0
Umoja,Apartment,3,2,983,24,24.8,0,0,0,1,3,4440000.0
Muthaiga,Maisonette,2,1,705,4,9.3,1,0,0,1,1,15964000.0
South C,Apartment,2,1,981,18,14.1,1,0,0,1,5,9687000.0
Kitisuru,Apartment,2,1,779,9,9.8,1,0,1,1,4,17334000.0
Embakasi,Apartment,3,2,1335,29,14.1,1,0,0,0,3,7190000.0
Kileleshwa,Maisonette,2,2,712,8,3.1,1,0,0,1,2,11850000.0
Athi River,Villa,3,2,1388,22,29.0,1,0,0,0,2,4926000.0
Buruburu,Apartment,6,6,1519,28,18.2,1,0,0,1,1,9361000.0
Kilimani,Apartment,4,4,1757,23,6.7,1,0,0,0,2,27074000.0
Donholm,Apartment,2,2,881,28,10.4,0,0,0,0,2,5595000.0
Spring Valley,Maisonette,3,2,1160,14,11.0,0,1,0,0,2,18654000.0
South C,Apartment,3,2,1126,25,13.6,0,0,0,1,2,9601000.0
Upperhill,Bungalow,5,5,2707,21,8.7,1,1,0,1,5,51291000.0
Ruaka,Maisonette,2,1,1071,2,19.2,1,0,0,0,3,8999000.0
Karen,Apartment,2,1,852,29,19.0,1,0,0,1,2,12172000.0
Ruiru,Townhouse,2,1,907,25,24.5,1,0,0,1,3,3427000.0
Thika Road,Apartment,3,2,958,9,22.0,1,0,0,1,5,6988000.0
Spring Valley,Apartment,3,3,1186,24,19.6,1,0,0,1,5,20162000.0
Embakasi,Maisonette,3,3,1163,25,22.5,1,0,0,1,3,6282000.0
Kilimani,Bungalow,3,2,1323,1,5.2,1,0,0,1,1,22089000.0
Donholm,Villa,5,4,2009,12,15.8,1,0,0,1,2,14457000.0
Kahawa,Bungalow,2,1,1133,27,36.8,1,1,0,1,4,4491000.0
Umoja,Bungalow,4,4,2599,0,13.7,1,1,0,1,2,17999000.0
Ruiru,Townhouse,1,1,690,15,30.0,1,0,0,0,5,2890000.0
Nyayo Estate,Apartment,3,3,941,12,23.1,1,0,0,1,1,7345000.0
Dagoretti,Maisonette,5,4,1887,23,18.2,0,0,0,1,2,14463000.0
Spring Valley,Maisonette,3,3,935,28,11.6,1,0,1,1,1,13191000.0
Lavington,Villa,3,3,1374,22,7.2,0,0,1,0,1,25618000.0
Buruburu,Bungalow,1,1,870,26,12.5,0,1,0,1,3,6170000.0
Langata,Villa,4,3,2030,19,13.8,1,0,0,1,1,24683000.0
South C,Apartment,2,1,954,26,16.5,1,0,0,0,4,8147000.0
Donholm,Villa,2,1,1047,23,21.9,1,0,0,1,5,6206000.0
Kahawa,Maisonette,3,3,1224,7,34.7,0,1,0,0,3,4877000.0
Kilimani,Apartment,3,3,954,17,9.3,1,0,0,1,3,17261000.0
Karen,Apartment,4,4,1393,13,0.5,1,0,0,0,3,35139000.0
South B,Townhouse,3,3,928,3,7.7,1,0,0,0,2,11689000.0
Kitisuru,Apartment,2,1,1179,19,1.0,1,0,0,0,5,26468000.0
Roysambu,Apartment,2,2,686,2,13.9,0,0,0,1,3,5157000.0
South B,Maisonette,3,2,1209,16,14.4,0,1,0,0,3,10985000.0
Kitisuru,Townhouse,2,2,994,8,15.8,1,0,0,0,3,19702000.0
Karen,Villa,2,1,1197,26,11.2,1,0,0,1,3,21363000.0
Kahawa,Apartment,2,2,952,15,24.6,1,0,0,0,5,3510000.0
Muthaiga,Apartment,1,1,586,12,3.4,1,0,0,1,3,14835000.0
Ngong Road,Townhouse,4,4,1646,6,17.1,1,0,0,1,4,19679000.0
Runda,Villa,2,1,1259,6,0.5,1,1,1,1,5,42022000.0
Thika Road,Townhouse,4,4,1468,11,22.7,1,0,0,1,2,10211000.0
Kasarani,Villa,5,4,1873,8,26.2,1,0,0,0,3,10140000.0
Karen,Maisonette,4,3,1521,19,7.7,1,1,1,1,1,38836000.0
Spring Valley,Villa,3,3,1519,22,10.2,1,1,0,1,5,25783000.0
South C,Apartment,3,2,1036,13,9.2,1,0,0,1,4,10995000.0
Upperhill,Maisonette,1,1,620,19,6.0,1,1,0,1,4,12047000.0
Embakasi,Townhouse,4,4,1607,21,30.0,1,0,0,1,3,9285000.0
Karen,Apartment,2,1,885,17,7.3,1,0,1,1,2,19548000.0
Ruaka,Apartment,5,4,1698,6,17.3,1,0,0,0,3,13058000.0
Ruaka,Apartment,5,5,1499,15,7.1,0,0,0,1,3,14575000.0
Lavington,Apartment,4,4,1286,21,10.8,1,0,1,1,4,27681000.0
South C,Townhouse,2,1,867,29,13.6,0,0,0,0,3,6881000.0
Embakasi,Apartment,2,2,768,21,20.8,1,0,0,0,2,4772000.0
Rongai,Apartment,5,5,1695,11,24.0,1,0,0,1,5,10589000.0
Ngong Road,Townhouse,4,4,1427,8,11.1,1,0,0,1,5,17905000.0
Nyayo Estate,Bungalow,2,2,1265,0,13.7,1,0,0,0,3,12483000.0
Nyayo Estate,Apartment,1,1,463,10,15.7,1,0,0,1,4,4021000.0
Athi River,Apartment,5,5,1549,12,21.9,1,0,0,0,4,6667000.0
Langata,Townhouse,2,2,950,19,9.8,0,0,0,0,4,9731000.0
Langata,Apartment,1,1,589,17,11.3,1,0,0,0,5,7122000.0
Kasarani,Apartment,3,3,969,7,13.6,1,0,0,1,2,5457000.0
Ruiru,Bungalow,3,3,1303,23,27.0,1,0,0,1,4,5507000.0
Karen,Apartment,3,2,1242,27,19.3,1,0,1,1,2,27788000.0
Roysambu,Apartment,1,1,569,21,20.6,1,0,0,0,5,3292000.0
Lavington,Apartment,1,1,633,6,4.8,1,0,0,0,4,14087000.0
Buruburu,Apartment,2,2,819,20,22.6,1,0,0,1,4,5844000.0
Ruiru,Bungalow,1,1,848,22,20.1,1,1,0,1,2,4130000.0
South C,Apartment,3,2,1078,26,4.8,0,0,0,0,1,8761000.0
Athi River,Apartment,3,3,1454,0,24.4,1,0,0,1,2,6978000.0
Kilimani,Bungalow,3,2,1034,15,1.9,1,1,0,1,1,17705000.0
Loresho,Townhouse,3,3,1411,1,13.3,1,0,0,1,2,22912000.0
Kilimani,Maisonette,2,1,1002,18,5.4,1,1,0,0,1,15156000.0
Embakasi,Apartment,3,3,1225,27,13.7,0,0,0,1,3,6272000.0
Kilimani,Villa,5,5,2862,19,10.8,1,0,0,1,2,50307000.0
